run,N1257,E1257,s1257
79,47797.80229567893,1256.7784507537847,1.3374112070050304
80,44893.565537983915,1256.682382939759,1.3099488191263466
81,6771.09197830917,1256.8513987803126,1.5120850347459212
82,41766.77933142645,1256.7372082115771,1.256116957769928
83,13903.473027707209,1256.7538713604583,1.3901200912107763
84,43138.194482339786,1256.777385261698,1.2792851673616124
85,2044.2468037296935,1256.906634184323,1.510844061571032
86,44974.41679631823,1256.7581797535252,1.2926461745050415
87,42406.46046112431,1256.7657052980355,1.3062806916437446
88,44887.05426234384,1256.8019080812483,1.3227896251066484
89,44113.07771017706,1256.7560558795249,1.2900767281429655
90,49325.14534182237,1256.7610902215984,1.3367936078922253
91,48770.578150205954,1256.754853515019,1.3378852743631253
92,46559.75636511193,1256.7647489162869,1.3385541382170132
93,45684.730104277674,1256.8347336053348,1.3686992443410715
94,45425.96861953843,1256.7430309069334,1.2945040114211346
95,43526.66488447808,1256.7695232449958,1.2858245296683464
96,44147.3641704504,1256.7697271136742,1.2654174005922094
97,50926.83449071272,1256.8365342507575,1.3614358618743745
98,484.3603596681182,1256.7963124037271,0.7212883044734193
99,56304.82152832374,1256.7595446328123,1.3710804467620887
100,53580.31546825837,1256.7804988914847,1.371903621972158
101,46375.24956624386,1256.7698385311746,1.30404332414842
102,48924.405662386576,1256.8040013935158,1.3632905933838155
103,40588.14170350261,1256.790082378976,1.254364050030263
104,46898.465706052266,1256.781536268043,1.2901534380171145
105,43500.34058458473,1256.8025137107684,1.290431426673824
106,53082.284010945776,1256.723833359391,1.3653069949926027
107,48381.03160615621,1256.8408738010062,1.3686237554186127
108,46411.70647791447,1256.7892679163683,1.3238054439413147
109,46086.80677173695,1256.7849144893983,1.3490633350973742
110,50688.778823081,1256.7866483517453,1.3372787269205202
111,45736.08160548766,1256.7872512170704,1.309047641086931
112,44076.62429363428,1256.7556354808357,1.2735866819179957
113,44952.768968859185,1256.8028688547122,1.3001819444831164
114,36876.91033888089,1256.7374692179078,1.3104437954187462
